日付け,終値,始値,高値,安値,変化率 %
2021年05月07日,"5,372.000","5,372.000","5,372.000","5,372.000",0.04%
2021年05月06日,"5,370.000","5,370.000","5,370.000","5,370.000",0.17%
2021年04月30日,"5,361.000","5,361.000","5,361.000","5,361.000",-0.02%
2021年04月28日,"5,362.000","5,362.000","5,362.000","5,362.000",0.00%
2021年04月27日,"5,362.000","5,362.000","5,362.000","5,362.000",0.06%
2021年04月26日,"5,359.000","5,359.000","5,359.000","5,359.000",0.13%
2021年04月23日,"5,352.000","5,352.000","5,352.000","5,352.000",0.06%
2021年04月22日,"5,349.000","5,349.000","5,349.000","5,349.000",-0.02%
2021年04月21日,"5,350.000","5,350.000","5,350.000","5,350.000",-0.19%
2021年04月20日,"5,360.000","5,360.000","5,360.000","5,360.000",-0.09%
2021年04月19日,"5,365.000","5,365.000","5,365.000","5,365.000",0.07%
2021年04月16日,"5,361.000","5,361.000","5,361.000","5,361.000",0.17%
2021年04月15日,"5,352.000","5,352.000","5,352.000","5,352.000",0.06%
2021年04月14日,"5,349.000","5,349.000","5,349.000","5,349.000",-0.07%
2021年04月13日,"5,353.000","5,353.000","5,353.000","5,353.000",-0.13%
2021年04月12日,"5,360.000","5,360.000","5,360.000","5,360.000",-0.20%
2021年04月09日,"5,371.000","5,371.000","5,371.000","5,371.000",0.06%
2021年04月08日,"5,368.000","5,368.000","5,368.000","5,368.000",0.11%
2021年04月07日,"5,362.000","5,362.000","5,362.000","5,362.000",0.11%
2021年04月06日,"5,356.000","5,356.000","5,356.000","5,356.000",0.13%
2021年04月05日,"5,349.000","5,349.000","5,349.000","5,349.000",-0.02%
2021年04月02日,"5,350.000","5,350.000","5,350.000","5,350.000",0.24%
2021年04月01日,"5,337.000","5,337.000","5,337.000","5,337.000",0.19%
2021年03月31日,"5,327.000","5,327.000","5,327.000","5,327.000",0.00%
2021年03月30日,"5,327.000","5,327.000","5,327.000","5,327.000",0.00%
2021年03月29日,"5,327.000","5,327.000","5,327.000","5,327.000",0.09%
2021年03月26日,"5,322.000","5,322.000","5,322.000","5,322.000",0.00%
2021年03月25日,"5,322.000","5,322.000","5,322.000","5,322.000",0.19%
2021年03月24日,"5,312.000","5,312.000","5,312.000","5,312.000",0.13%
2021年03月23日,"5,305.000","5,305.000","5,305.000","5,305.000",0.25%
2021年03月22日,"5,292.000","5,292.000","5,292.000","5,292.000",-0.02%
2021年03月19日,"5,293.000","5,293.000","5,293.000","5,293.000",-0.21%
2021年03月18日,"5,304.000","5,304.000","5,304.000","5,304.000",-0.24%
2021年03月17日,"5,317.000","5,317.000","5,317.000","5,317.000",-0.02%
2021年03月16日,"5,318.000","5,318.000","5,318.000","5,318.000",-0.06%
2021年03月15日,"5,321.000","5,321.000","5,321.000","5,321.000",-0.28%
2021年03月12日,"5,336.000","5,336.000","5,336.000","5,336.000",0.19%
2021年03月11日,"5,326.000","5,326.000","5,326.000","5,326.000",-0.06%
2021年03月10日,"5,329.000","5,329.000","5,329.000","5,329.000",-0.09%
2021年03月09日,"5,334.000","5,334.000","5,334.000","5,334.000",-0.06%
2021年03月08日,"5,337.000","5,337.000","5,337.000","5,337.000",-0.21%
2021年03月05日,"5,348.000","5,348.000","5,348.000","5,348.000",-0.21%
2021年03月04日,"5,359.000","5,359.000","5,359.000","5,359.000",-0.20%
2021年03月03日,"5,370.000","5,370.000","5,370.000","5,370.000",0.13%
2021年03月02日,"5,363.000","5,363.000","5,363.000","5,363.000",0.19%
2021年03月01日,"5,353.000","5,353.000","5,353.000","5,353.000",-0.21%
